Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2020-03-12,34,34,0,0,0,0,0.0,,,,0,0.0
2020-03-13,45,11,0,0,0,0,0.0,,,0.32352941176470584,0,0.0
2020-03-14,59,14,0,0,0,0,0.0,,,0.3111111111111111,0,1.0
2020-03-15,63,4,3,3,0,0,0.0,inf,,0.06779661016949158,3,2.0
2020-03-16,91,28,5,2,0,0,0.0,0.6666666666666667,,0.4444444444444444,5,3.0
2020-03-17,114,23,5,0,0,0,0.0,0.0,,0.25274725274725274,5,4.0
2020-03-18,147,33,5,0,0,0,0.0,0.0,,0.2894736842105263,5,5.0
2020-03-19,199,52,5,0,0,0,0.0,0.0,,0.3537414965986394,5,6.0
2020-03-20,253,54,12,7,0,0,0.0,1.4,,0.27135678391959805,12,7.0
2020-03-21,306,53,16,4,0,0,0.0,0.3333333333333333,,0.20948616600790504,16,8.0
2020-03-22,367,61,16,0,0,0,0.0,0.0,,0.19934640522875813,16,9.0
2020-03-23,438,71,17,1,0,0,0.0,0.0625,,0.1934604904632153,17,10.0
2020-03-24,495,57,22,5,0,0,0.0,0.2941176470588236,,0.13013698630136994,22,11.0
2020-03-25,658,163,29,7,2,2,0.3,0.3181818181818181,inf,0.3292929292929292,31,12.0
2020-03-26,840,182,35,6,0,2,0.24,0.2068965517241379,0.0,0.27659574468085113,37,13.0
2020-03-27,1036,196,42,7,1,3,0.29,0.2,0.5,0.2333333333333334,45,14.0
2020-03-28,1264,228,46,4,2,5,0.4,0.09523809523809534,0.6666666666666667,0.22007722007722008,51,14.0
2020-03-29,1534,270,64,18,3,8,0.52,0.3913043478260869,0.6000000000000001,0.2136075949367089,72,13.0
2020-03-30,1836,302,66,2,1,9,0.49,0.03125,0.125,0.19687092568448492,75,14.0
