Дата,Заражений за день,Day sin,Day cos,Характерстика ДБ
2020-03-25,163,0.7628295718622635,-0.6465996012158032,12.0
2020-03-26,182,0.7431448254773666,-0.669130606358889,13.0
2020-03-27,196,0.7227948638274161,-0.6910626489868389,14.0
2020-03-28,228,0.7017979028839906,-0.7123760969513456,14.0
2020-03-29,270,0.6801727377708917,-0.7330518718298521,13.0
2020-03-30,302,0.6579387259397421,-0.7530714660035852,14.0
2020-03-31,501,0.6351157698421807,-0.772416959224598,13.0
2020-04-01,440,0.6117242991149793,-0.7910710346563622,12.0
2020-04-02,771,0.5877852522925077,-0.8090169943749224,12.0
2020-04-03,601,0.563320058063627,-0.8262387743159915,12.0
2020-04-04,582,0.5383506160906565,-0.8427209586540557,12.0
2020-04-05,658,0.5128992774059459,-0.8584487936018423,13.0
2020-04-06,954,0.48698882440437563,-0.8734082006171251,13.0
2020-04-07,1154,0.4606424504506082,-0.8875857890045665,13.0
2020-04-08,1175,0.43388373911760303,-0.9009688679023975,14.0
2020-04-09,1459,0.4067366430758122,-0.9135454576425955,14.0
2020-04-10,1786,0.3792254626529066,-0.9253043004740057,14.0
2020-04-11,1667,0.3513748240813927,-0.9362348706397184,14.0
2020-04-12,2175,0.3232096574544758,-0.9463273837991588,14.0
2020-04-13,2569,0.29475517441088506,-0.9555728057861467,14.0
2020-04-14,2774,0.26603684556662044,-0.9639628606958683,14.0
2020-04-15,3388,0.23708037771551718,-0.9714900382928626,15.0
2020-04-16,3448,0.20791169081774322,-0.978147600733809,15.0
2020-04-17,4070,0.17855689479858433,-0.9839295885986391,15.0
2020-04-18,4785,0.14904226617619798,-0.988830826225125,16.0
2020-04-19,6060,0.11939422454023152,-0.9928469263418388,16.0
2020-04-20,4268,0.08963930890338408,-0.9959742939952435,17.0
2020-04-21,5642,0.05980415394506147,-0.9982101297677335,17.0
2020-04-22,5236,0.029915466169389098,-0.9995524322835037,17.0
2020-04-23,4774,-4.6070240912130835e-14,-1.0,17.0
2020-04-24,5849,-0.029915466169367563,-0.9995524322835043,18.0
2020-04-25,5966,-0.05980415394503996,-0.9982101297677348,18.0
2020-04-26,6361,-0.08963930890347584,-0.9959742939952352,18.0
2020-04-27,6198,-0.11939422454021012,-0.9928469263418415,19.0
2020-04-28,6411,-0.14904226617617666,-0.9888308262251282,19.0
2020-04-29,5841,-0.17855689479867498,-0.9839295885986227,19.0
2020-04-30,7099,-0.20791169081772215,-0.9781476007338136,19.0
2020-05-01,7933,-0.23708037771549623,-0.9714900382928677,19.0
2020-05-02,9623,-0.26603684556670926,-0.9639628606958439,19.0
2020-05-03,10633,-0.29475517441086446,-0.955572805786153,20.0
2020-05-04,10581,-0.3232096574544554,-0.9463273837991658,20.0
2020-05-05,10102,-0.3513748240813725,-0.936234870639726,20.0
2020-05-06,10559,-0.37922546265288665,-0.9253043004740138,21.0
2020-05-07,11231,-0.4067366430757925,-0.9135454576426043,21.0
2020-05-08,10699,-0.4338837391175836,-0.9009688679024068,21.0
2020-05-09,10817,-0.4606424504505891,-0.8875857890045765,21.0
2020-05-10,11012,-0.4869888244043568,-0.8734082006171355,22.0
2020-05-11,11656,-0.5128992774059273,-0.8584487936018534,22.0
2020-05-12,10899,-0.5383506160906383,-0.8427209586540673,22.0
2020-05-13,10028,-0.5633200580636092,-0.8262387743160037,22.0
2020-05-14,9974,-0.5877852522924902,-0.809016994374935,22.0
2020-05-15,10598,-0.6117242991150521,-0.7910710346563058,22.0
2020-05-16,9200,-0.635115769842164,-0.7724169592246116,22.0
2020-05-17,9709,-0.6579387259397259,-0.7530714660035993,22.0
2020-05-18,8926,-0.6801727377709592,-0.7330518718297894,23.0
2020-05-19,9263,-0.7017979028839753,-0.7123760969513607,23.0
2020-05-20,8764,-0.7227948638274012,-0.6910626489868545,22.0
2020-05-21,8849,-0.7431448254774282,-0.6691306063588205,22.0
2020-05-22,8894,-0.7628295718622495,-0.6465996012158196,22.0
2020-05-23,9434,-0.7818314824680364,-0.6234898018587253,22.0
2020-05-24,8599,-0.8001335480112346,-0.599821894687876,22.0
2020-05-25,8946,-0.8177193856644142,-0.5756170656856979,23.0
2020-05-26,8915,-0.8345732537213065,-0.5508969814520968,22.0
2020-05-27,8338,-0.8506800656873625,-0.5256837698104676,22.0
2020-05-28,8371,-0.8660254037844219,-0.5000000000000289,23.0
2020-05-29,8572,-0.8805955318567396,-0.4738686624729957,23.0
2020-05-30,8952,-0.8943774076663548,-0.44731314831559676,23.0
2020-05-31,9268,-0.9073586945678493,-0.42035722830959893,24.0
2020-06-01,9035,-0.9195277725514506,-0.3930250316539238,24.0
2020-06-02,8863,-0.9308737486442176,-0.365341024366361,24.0
2020-06-03,8536,-0.9413864666608895,-0.33732998738286807,24.0
2020-06-04,8831,-0.9510565162951524,-0.30901699437495095,24.0
2020-06-05,8726,-0.9598752415428983,-0.2804273893059711,25.0
2020-06-06,8855,-0.9678347484506554,-0.2515867637445511,25.0
2020-06-07,8984,-0.974927912181822,-0.2225209339563215,25.0
2020-06-08,8985,-0.9811483833941783,-0.1932559177955244,26.0
2020-06-09,8595,-0.9864905939235137,-0.1638179114151846,26.0
2020-06-10,8404,-0.9909497617679333,-0.1342332658176662,26.0
2020-06-11,8779,-0.9945218953682761,-0.10452846326762773,26.0
2020-06-12,8987,-0.9972037971811764,-0.07473009358647521,26.0
2020-06-13,8706,-0.998993066541314,-0.044864830350529294,27.0
2020-06-14,8835,-0.9998881018102738,-0.014959407015241297,27.0
2020-06-15,8246,-0.9998881018102742,0.014959407015208972,27.0
2020-06-16,8248,-0.9989930665413155,0.044864830350497,27.0
2020-06-17,7843,-0.9972037971811788,0.07473009358644297,27.0
2020-06-18,7790,-0.9945218953682675,0.10452846326770865,27.0
2020-06-19,7972,-0.9909497617679376,0.13423326581763417,27.0
2020-06-20,7889,-0.986490593923519,0.1638179114151527,27.0
2020-06-21,7728,-0.9811483833941625,0.19325591779560422,27.0
2020-06-22,7600,-0.9749279121818292,0.22252093395628997,28.0
2020-06-23,7425,-0.9678347484506635,0.25158676374451977,27.0
2020-06-24,7176,-0.9598752415428755,0.28042738930604916,27.0
2020-06-25,7113,-0.9510565162951624,0.3090169943749202,27.0
2020-06-26,6800,-0.9413864666609004,0.3373299873828376,27.0
2020-06-27,6852,-0.9308737486441879,0.36534102436643673,27.0
2020-06-28,6791,-0.9195277725514632,0.393025031653894,27.0
2020-06-29,6719,-0.9073586945678629,0.4203572283095696,28.0
2020-06-30,6693,-0.8943774076663183,0.44731314831566954,28.0
2020-07-01,6556,-0.8805955318567549,0.4738686624729672,27.0
2020-07-02,6760,-0.8660254037844382,0.5000000000000009,28.0
2020-07-03,6718,-0.8506800656873197,0.5256837698105368,28.0
2020-07-04,6632,-0.8345732537213243,0.5508969814520698,28.0
2020-07-05,6736,-0.8177193856644328,0.5756170656856714,28.0
2020-07-06,6611,-0.8001335480111859,0.599821894687941,29.0
2020-07-07,6368,-0.7818314824680566,0.6234898018587001,29.0
2020-07-08,6562,-0.7628295718622705,0.646599601215795,29.0
2020-07-09,6509,-0.7431448254773738,0.669130606358881,29.0
2020-07-10,6635,-0.7227948638274236,0.6910626489868311,29.0
2020-07-11,6611,-0.7017979028839982,0.712376096951338,29.0
2020-07-12,6615,-0.6801727377708996,0.7330518718298447,29.0
2020-07-13,6537,-0.6579387259397502,0.7530714660035781,30.0
2020-07-14,6248,-0.635115769842189,0.7724169592245911,30.0
2020-07-15,6422,-0.6117242991149878,0.7910710346563556,30.0
2020-07-16,6428,-0.5877852522925164,0.8090169943749159,30.0
2020-07-17,6406,-0.5633200580636359,0.8262387743159854,30.0
2020-07-18,6234,-0.5383506160906656,0.8427209586540498,30.0
2020-07-19,6109,-0.5128992774058575,0.8584487936018952,30.0
2020-07-20,5940,-0.486988824404385,0.8734082006171199,31.0
2020-07-21,5842,-0.4606424504506178,0.8875857890045616,31.0
2020-07-22,5862,-0.4338837391175103,0.9009688679024421,30.0
2020-07-23,5848,-0.406736643075822,0.9135454576425912,30.0
2020-07-24,5811,-0.37922546265291657,0.9253043004740016,30.0
2020-07-25,5871,-0.35137482408129633,0.9362348706397546,30.0
2020-07-26,5765,-0.323209657454486,0.9463273837991554,31.0
2020-07-27,5635,-0.2947551744108954,0.9555728057861435,31.0
2020-07-28,5395,-0.2660368455666308,0.9639628606958656,31.0
2020-07-29,5475,-0.23708037771552765,0.9714900382928601,31.0
2020-07-30,5509,-0.20791169081775376,0.9781476007338068,30.0
2020-07-31,5482,-0.17855689479859493,0.9839295885986372,30.0
2020-08-01,5462,-0.14904226617620864,0.9888308262251234,30.0
2020-08-02,5427,-0.11939422454024222,0.9928469263418376,30.0
2020-08-03,5394,-0.0896393089033948,0.9959742939952425,31.0
2020-08-04,5159,-0.059804153945072235,0.9982101297677328,30.0
2020-08-05,5204,-0.029915466169399874,0.9995524322835033,30.0
2020-08-06,5267,3.52896351958146e-14,1.0,30.0
2020-08-07,5241,0.029915466169356787,0.9995524322835047,30.0
2020-08-08,5212,0.0598041539450292,0.9982101297677355,30.0
2020-08-09,5189,0.08963930890346511,0.9959742939952362,30.0
2020-08-10,5118,0.11939422454019942,0.9928469263418427,31.0
2020-08-11,4945,0.149042266176166,0.9888308262251299,31.0
2020-08-12,5102,0.17855689479866438,0.9839295885986247,31.0
2020-08-13,5057,0.2079116908177116,0.9781476007338158,31.0
2020-08-14,5065,0.23708037771548576,0.9714900382928703,31.0
2020-08-15,5061,0.2660368455666988,0.9639628606958467,31.0
2020-08-16,4969,0.2947551744108542,0.9555728057861561,31.0
2020-08-17,4892,0.3232096574544452,0.9463273837991693,32.0
2020-08-18,4748,0.35137482408136245,0.9362348706397298,32.0
2020-08-19,4828,0.37922546265298185,0.9253043004739748,32.0
2020-08-20,4785,0.40673664307578267,0.9135454576426087,31.0
2020-08-21,4870,0.4338837391175739,0.9009688679024115,31.0
2020-08-22,4921,0.4606424504506804,0.8875857890045291,31.0
2020-08-23,4852,0.4869888244043474,0.8734082006171409,32.0
2020-08-24,4744,0.5128992774059181,0.858448793601859,32.0
2020-08-25,4696,0.5383506160907251,0.8427209586540119,32.0
2020-08-26,4676,0.5633200580636003,0.8262387743160097,32.0
2020-08-27,4711,0.5877852522924816,0.8090169943749413,32.0
2020-08-28,4829,0.6117242991150436,0.7910710346563125,32.0
2020-08-29,4941,0.6351157698421557,0.7724169592246185,32.0
2020-08-30,4980,0.6579387259397178,0.7530714660036064,32.0
2020-08-31,4993,0.6801727377709513,0.7330518718297967,33.0
2020-09-01,4729,0.7017979028839676,0.7123760969513683,33.0
2020-09-02,4952,0.7227948638273938,0.6910626489868623,33.0
2020-09-03,4995,0.743144825477421,0.6691306063588285,33.0
2020-09-04,5110,0.7628295718622427,0.6465996012158278,33.0
2020-09-05,5205,0.7818314824680297,0.6234898018587337,33.0
2020-09-06,5195,0.8001335480112282,0.5998218946878845,33.0
2020-09-07,5185,0.817719385664408,0.5756170656857067,34.0
2020-09-08,5099,0.8345732537213005,0.5508969814521057,33.0
2020-09-09,5218,0.8506800656873569,0.5256837698104767,33.0
