"DateTime";"Заражений";"Заражений за день";"Выздоровлений";"Выздоровлений за день";"Смертей за день";"Смертей";"Летальность, %"
2020-03-12 00:00:00;34;34;0;0;0;0;0
2020-03-13 00:00:00;45;11;0;0;0;0;0
2020-03-14 00:00:00;59;14;0;0;0;0;0
2020-03-15 00:00:00;63;4;3;3;0;0;0
2020-03-16 00:00:00;91;28;5;2;0;0;0
2020-03-17 00:00:00;114;23;5;0;0;0;0
2020-03-18 00:00:00;147;33;5;0;0;0;0
2020-03-19 00:00:00;199;52;5;0;0;0;0
2020-03-20 00:00:00;253;54;12;7;0;0;0
2020-03-21 00:00:00;306;53;16;4;0;0;0
2020-03-22 00:00:00;367;61;16;0;0;0;0
2020-03-23 00:00:00;438;71;17;1;0;0;0
2020-03-24 00:00:00;495;57;22;5;0;0;0
2020-03-25 00:00:00;658;163;29;7;2;2;0.3
2020-03-26 00:00:00;840;182;35;6;0;2;0.24
2020-03-27 00:00:00;1036;196;42;7;1;3;0.29
2020-03-28 00:00:00;1264;228;46;4;2;5;0.4
2020-03-29 00:00:00;1534;270;64;18;3;8;0.52
2020-03-30 00:00:00;1836;302;66;2;1;9;0.49
2020-03-31 00:00:00;2337;501;121;55;8;17;0.73
2020-04-01 00:00:00;2777;440;190;69;7;24;0.86
2020-04-02 00:00:00;3548;771;235;45;6;30;0.85
2020-04-03 00:00:00;4149;601;281;46;4;34;0.82
2020-04-04 00:00:00;4731;582;333;52;9;43;0.91
2020-04-05 00:00:00;5389;658;355;22;2;45;0.84
2020-04-06 00:00:00;6343;954;406;51;2;47;0.74
2020-04-07 00:00:00;7497;1154;494;88;11;58;0.77
2020-04-08 00:00:00;8672;1175;580;86;5;63;0.73
2020-04-09 00:00:00;10131;1459;698;118;13;76;0.75
2020-04-10 00:00:00;11917;1786;795;97;18;94;0.79
2020-04-11 00:00:00;13584;1667;1045;250;12;106;0.78
2020-04-12 00:00:00;15759;2175;1291;246;24;130;0.82
2020-04-13 00:00:00;18328;2569;1470;179;18;148;0.81
2020-04-14 00:00:00;21102;2774;1694;224;22;170;0.81
2020-04-15 00:00:00;24490;3388;1986;292;28;198;0.81
2020-04-16 00:00:00;27938;3448;2304;318;34;232;0.83
2020-04-17 00:00:00;32008;4070;2590;286;41;273;0.85
2020-04-18 00:00:00;36793;4785;3057;467;40;313;0.85
2020-04-19 00:00:00;42853;6060;3291;234;48;361;0.84
2020-04-20 00:00:00;47121;4268;3446;155;44;405;0.86
2020-04-21 00:00:00;52763;5642;3873;427;51;456;0.86
2020-04-22 00:00:00;57999;5236;4420;547;57;513;0.88
2020-04-23 00:00:00;62773;4774;4891;471;42;555;0.88
2020-04-24 00:00:00;68622;5849;5568;677;60;615;0.9
2020-04-25 00:00:00;74588;5966;6250;682;66;681;0.91
2020-04-26 00:00:00;80949;6361;6767;517;62;743;0.92
2020-04-27 00:00:00;87147;6198;7346;579;50;793;0.91
2020-04-28 00:00:00;93558;6411;8456;1110;71;864;0.92
2020-04-29 00:00:00;99399;5841;10286;1830;108;972;0.98
2020-04-30 00:00:00;106498;7099;11619;1333;101;1073;1.01
2020-05-01 00:00:00;114431;7933;13220;1601;92;1165;1.02
2020-05-02 00:00:00;124054;9623;15013;1793;57;1222;0.99
2020-05-03 00:00:00;134687;10633;16639;1626;58;1280;0.95
2020-05-04 00:00:00;145268;10581;18095;1456;76;1356;0.93
2020-05-05 00:00:00;155370;10102;19865;1770;95;1451;0.93
2020-05-06 00:00:00;165929;10559;21327;1462;86;1537;0.93
2020-05-07 00:00:00;177160;11231;23803;2476;88;1625;0.92
2020-05-08 00:00:00;187859;10699;26608;2805;98;1723;0.92
2020-05-09 00:00:00;198676;10817;31916;5308;104;1827;0.92
